query,url,title,grade
create table,https://docs.microsoft.com/en-us/sql/t-sql/statements/create-table-transact-sql,CREATE TABLE (Transact-SQL) - SQL Server | Microsoft Docs,10
create table,https://docs.microsoft.com/en-us/azure/kusto/management/tables,Tables management - Azure Data Explorer | Microsoft Docs,9
create table,https://docs.microsoft.com/en-us/azure/databricks/spark/latest/spark-sql/language-manual/create-table,Create Table - Azure Databricks | Microsoft Docs,8
create table,https://docs.microsoft.com/en-us/sql/t-sql/statements/create-table-sql-graph,CREATE TABLE (SQL Graph) - SQL Server | Microsoft Docs,7
create table,https://docs.microsoft.com/en-us/office/client-developer/access/desktop-database-reference/create-table-statement-microsoft-access-sql,CREATE TABLE statement (Microsoft Access SQL) | Microsoft Docs,6
create table,https://docs.microsoft.com/en-us/sql/t-sql/statements/create-table-transact-sql-identity-property,IDENTITY (Property) (Transact-SQL) - SQL Server | Microsoft Docs,5
create table,https://docs.microsoft.com/en-us/sql/t-sql/lesson-1-creating-database-objects,T-SQL Tutorial: Create & query database objects - SQL Server ...,4
create table,https://docs.microsoft.com/en-us/rest/api/storageservices/create-table,Create Table (REST API) - Azure Storage | Microsoft Docs,3
create table,https://docs.microsoft.com/en-us/stream-analytics-query/create-table-stream-analytics,CREATE TABLE (Stream Analytics) - Stream Analytics Query ...,2
create table,https://docs.microsoft.com/en-us/sql/t-sql/statements/create-external-table-transact-sql,CREATE EXTERNAL TABLE (Transact-SQL) - SQL Server ...,1
jwt,https://docs.microsoft.com/en-us/azure/api-management/api-management-access-restriction-policies,Azure API Management access restriction policies | Microsoft Docs,10
jwt,https://docs.microsoft.com/en-us/previous-versions/aspnet/dn450317(v%3Dvs.113),JwtBearerAuthenticationOptions Class (Microsoft.Owin.Security.Jwt ...,9
jwt,https://docs.microsoft.com/en-us/outlook/add-ins/inside-the-identity-token,Inside the Exchange identity token in an Outlook add-in - Outlook ...,8
jwt,https://docs.microsoft.com/en-us/azure/active-directory/develop/id-tokens,Microsoft identity platform ID token reference | Microsoft Docs,7
jwt,https://docs.microsoft.com/en-us/dotnet/api/system.identitymodel.tokens.jwt,System.IdentityModel.Tokens.Jwt Namespace - Azure for .NET ...,6
jwt,https://docs.microsoft.com/en-us/azure/api-management/policies/authorize-request-based-on-jwt-claims,Sample API management policy - Authorize access based on JWT ...,5
jwt,https://docs.microsoft.com/en-us/azure/active-directory-b2c/jwt-issuer-technical-profile,Define a technical profile for a JWT issuer in a custom policy - Azure ...,4
jwt,https://docs.microsoft.com/en-us/azure/api-management/api-management-policy-expressions,Azure API Management policy expressions | Microsoft Docs,3
jwt,https://docs.microsoft.com/en-us/outlook/add-ins/validate-an-identity-token,Validate an Exchange identity token,2
jwt,https://docs.microsoft.com/en-us/dotnet/api/system.identitymodel.tokens.jwt.jwtsecuritytokenhandler,JwtSecurityTokenHandler Class (System.IdentityModel.Tokens.Jwt ...,1
combobox,https://docs.microsoft.com/en-us/dotnet/api/system.windows.forms.combobox,ComboBox Class (System.Windows.Forms) | Microsoft Docs,10
combobox,https://docs.microsoft.com/en-us/dotnet/api/system.windows.controls.combobox,ComboBox Class (System.Windows.Controls) | Microsoft Docs,9
combobox,https://docs.microsoft.com/en-us/uwp/api/windows.ui.xaml.controls.combobox,ComboBox Class (Windows.UI.Xaml.Controls) - Windows UWP ...,8
combobox,https://docs.microsoft.com/en-us/windows/win32/controls/bumper-combobox-control-reference-notifications,ComboBox Control Notifications - Win32 apps | Microsoft Docs,7
combobox,https://docs.microsoft.com/en-us/windows/win32/controls/bumper-combobox-control-reference-macros,ComboBox Control Macros - Win32 apps | Microsoft Docs,6
combobox,https://docs.microsoft.com/en-us/dotnet/api/system.windows.forms.combobox.objectcollection.removeat,ComboBox.ObjectCollection.RemoveAt(Int32) Method (System ...,5
combobox,https://docs.microsoft.com/en-us/dotnet/api/system.windows.forms.combobox.beginupdate,ComboBox.BeginUpdate Method (System.Windows.Forms ...,4
combobox,https://docs.microsoft.com/en-us/dotnet/framework/wpf/controls/combobox,ComboBox - WPF | Microsoft Docs,3
combobox,https://docs.microsoft.com/en-us/windows/win32/controls/bumper-combobox-control-reference-messages,ComboBox Control Messages - Win32 apps | Microsoft Docs,2
combobox,https://docs.microsoft.com/en-us/dotnet/api/system.windows.controls.combobox.staysopenonedit,ComboBox.StaysOpenOnEdit Property (System.Windows.Controls ...,1
CreateFile,https://docs.microsoft.com/en-us/windows/win32/api/fileapi/nf-fileapi-createfilea,CreateFile,10
CreateFile,https://docs.microsoft.com/en-us/windows/win32/fileio/opening-a-file-for-reading-or-writing,Opening a File for Reading or Writing - Win32 apps | Microsoft Docs,9
CreateFile,https://docs.microsoft.com/en-us/previous-versions/windows/embedded/ms923949(v%3Dmsdn.10),CreateFile (Windows CE .NET 4.2) | Microsoft Docs,8
CreateFile,https://docs.microsoft.com/en-us/previous-versions/ms959950(v%3Dmsdn.10),CreateFile (Windows CE 3.0) | Microsoft Docs,7
CreateFile,https://docs.microsoft.com/en-us/windows/win32/ipc/named-pipe-client,Named Pipe Client - Win32 apps | Microsoft Docs,6
CreateFile,https://docs.microsoft.com/en-us/windows/win32/devnotes/-createfile,CreateFile function,5
CreateFile,https://docs.microsoft.com/en-us/dotnet/api/microsoft.azure.datalake.store.adlsclient.createfile,"AdlsClient.CreateFile(String, IfExists, String, Boolean) Method ...",4
CreateFile,https://docs.microsoft.com/en-us/openspecs/windows_protocols/ms-rdpepnp/0f2fef8b-ef79-40ff-8314-5f56787e6d9d,[MS-RDPEPNP]: CreateFile Request Message | Microsoft Docs,3
CreateFile,https://docs.microsoft.com/en-us/dotnet/api/system.io.isolatedstorage.isolatedstoragefile.createfile,IsolatedStorageFile.CreateFile(String) Method (System.IO ...,2
CreateFile,https://docs.microsoft.com/en-us/dotnet/api/foundation.nsfilemanager.createfile,NSFileManager.CreateFile Method (Foundation) | Microsoft Docs,1
visual basic,https://docs.microsoft.com/en-us/dotnet/visual-basic/,"Visual Basic docs - get started, tutorials, reference. | Microsoft Docs",10
visual basic,https://docs.microsoft.com/en-us/dotnet/visual-basic/getting-started/,Get started - Visual Basic | Microsoft Docs,9
visual basic,https://docs.microsoft.com/en-us/dotnet/visual-basic/language-reference/statements/with-end-with-statement,With...End With Statement - Visual Basic | Microsoft Docs,8
visual basic,https://docs.microsoft.com/en-us/dotnet/visual-basic/language-reference/,Language Reference - Visual Basic | Microsoft Docs,7
visual basic,https://docs.microsoft.com/en-us/dotnet/visual-basic/language-reference/data-types/,Data Type Summary - Visual Basic | Microsoft Docs,6
visual basic,https://docs.microsoft.com/en-us/dotnet/visual-basic/programming-guide/language-features/data-types/type-characters,Type Characters - Visual Basic | Microsoft Docs,5
visual basic,https://docs.microsoft.com/en-us/dotnet/visual-basic/programming-guide/,Programming Guide - Visual Basic | Microsoft Docs,4
visual basic,https://docs.microsoft.com/en-us/dotnet/visual-basic/language-reference/data-types/string-data-type,String Data Type - Visual Basic | Microsoft Docs,3
visual basic,https://docs.microsoft.com/en-us/visualstudio/get-started/visual-basic/,Visual Basic development with Visual Studio - Visual Studio ...,2
visual basic,https://docs.microsoft.com/en-us/dotnet/visual-basic/reference/command-line-compiler/,Command-line compiler - Visual Basic | Microsoft Docs,1
timer,https://docs.microsoft.com/en-us/dotnet/api/system.timers.timer,Timer Class (System.Timers) | Microsoft Docs,10
timer,https://docs.microsoft.com/en-us/azure/azure-functions/functions-bindings-timer,Timer trigger for Azure Functions | Microsoft Docs,9
timer,https://docs.microsoft.com/en-us/azure/azure-functions/functions-create-scheduled-function,functions on a schedule,8
timer,https://docs.microsoft.com/en-us/dotnet/api/system.windows.forms.timer,Timer Class (System.Windows.Forms) | Microsoft Docs,7
timer,https://docs.microsoft.com/en-us/dotnet/api/system.threading.timer,Timer Class (System.Threading) | Microsoft Docs,6
timer,https://docs.microsoft.com/en-us/windows/win32/winmsg/using-timers,Using Timers - Win32 apps | Microsoft Docs,5
timer,https://docs.microsoft.com/en-us/previous-versions/dotnet/reactive-extensions/hh212050(v%3Dvs.103),Observable.Timer Method (TimeSpan) (System.Reactive.Linq ...,4
timer,https://docs.microsoft.com/en-us/dotnet/api/system.threading.timer.-ctor,Timer Constructor (System.Threading) | Microsoft Docs,3
timer,https://docs.microsoft.com/en-us/sharepoint/dev/solution-guidance/pnp-remote-timer-job-framework,PnP remote timer job framework | Microsoft Docs,2
timer,https://docs.microsoft.com/en-us/dotnet/standard/threading/timers,Timers | Microsoft Docs,1
forms,https://docs.microsoft.com/en-us/xamarin/xamarin-forms/,Xamarin.Forms documentation - Xamarin | Microsoft Docs,10
forms,https://docs.microsoft.com/en-us/dotnet/framework/winforms/,Windows Forms | Microsoft Docs,9
forms,https://docs.microsoft.com/en-us/forms-pro/,Microsoft Forms Pro,8
forms,https://docs.microsoft.com/en-us/xamarin/xamarin-forms/user-interface/controls/layouts,Xamarin.Forms Layouts - Xamarin | Microsoft Docs,7
forms,https://docs.microsoft.com/en-us/xamarin/xamarin-forms/creating-mobile-apps-xamarin-forms/,Creating Mobile Apps with Xamarin.Forms book - Xamarin ...,6
forms,https://docs.microsoft.com/en-us/xamarin/xamarin-forms/user-interface/graphics/skiasharp/,SkiaSharp Graphics in Xamarin.Forms - Xamarin | Microsoft Docs,5
forms,https://docs.microsoft.com/en-us/dotnet/api/system.windows.forms.form,Form Class (System.Windows.Forms) | Microsoft Docs,4
forms,https://docs.microsoft.com/en-us/office/vba/api/access.form,Form object (Access) | Microsoft Docs,3
forms,https://docs.microsoft.com/en-us/xamarin/xamarin-forms/user-interface/map/,Xamarin.Forms Map - Xamarin | Microsoft Docs,2
forms,https://docs.microsoft.com/en-us/forms-pro/purchase,Purchase - Microsoft Forms Pro | Microsoft Docs,1
cast,https://docs.microsoft.com/en-us/sql/t-sql/functions/cast-and-convert-transact-sql,CAST and CONVERT (Transact-SQL) - SQL Server | Microsoft Docs,10
cast,https://docs.microsoft.com/en-us/dotnet/csharp/programming-guide/types/casting-and-type-conversions,Casting and type conversions - C# Programming Guide | Microsoft ...,9
cast,https://docs.microsoft.com/en-us/dotnet/api/system.linq.enumerable.cast,Cast,8
cast,https://docs.microsoft.com/en-us/dotnet/api/system.linq.queryable.cast,Queryable.Cast<TResult>(IQueryable),7
cast,https://docs.microsoft.com/en-us/dotnet/csharp/language-reference/operators/type-testing-and-cast,Type-testing and cast operators - C# reference | Microsoft Docs,6
cast,https://docs.microsoft.com/en-us/cpp/cpp/cast-operator-parens,Cast Operator: () | Microsoft Docs,5
cast,https://docs.microsoft.com/en-us/stream-analytics-query/cast-azure-stream-analytics,CAST (Azure Stream Analytics) - Stream Analytics Query | Microsoft ...,4
cast,https://docs.microsoft.com/en-us/visualstudio/subscriptions/vs-cast,CAST Highlight Benefit in to Visual Studio Subscriptions | Microsoft ...,3
cast,https://docs.microsoft.com/en-us/sql/integration-services/expressions/cast-ssis-expression,Cast (SSIS Expression) - SQL Server Integration Services (SSIS ...,2
cast,https://docs.microsoft.com/en-us/dotnet/api/system.runtime.interopservices.memorymarshal.cast,MemoryMarshal.Cast Method (System.Runtime.InteropServices ...,1
windows 10 download,https://docs.microsoft.com/en-us/windows/iot-core/downloads,Downloads - Windows IoT | Microsoft Docs,10
windows 10 download,https://docs.microsoft.com/en-us/windows-hardware/get-started/adk-install,Download and install the Windows ADK | Microsoft Docs,9
windows 10 download,https://docs.microsoft.com/en-us/windows-hardware/drivers/download-the-wdk,Download the Windows Driver Kit (WDK) - Windows drivers ...,8
windows 10 download,https://docs.microsoft.com/en-us/sysinternals/downloads/process-explorer,Process Explorer - Windows Sysinternals | Microsoft Docs,7
windows 10 download,https://docs.microsoft.com/en-us/windows-hardware/manufacture/desktop/install-windows-from-a-usb-flash-drive,Install Windows from a USB Flash Drive | Microsoft Docs,6
windows 10 download,https://docs.microsoft.com/en-us/windows/wsl/install-win10,Install Windows Subsystem for Linux (WSL) on Windows 10 ...,5
windows 10 download,https://docs.microsoft.com/en-us/sql/ssms/download-sql-server-management-studio-ssms,Download SQL Server Management Studio (SSMS) - SQL Server ...,4
windows 10 download,https://docs.microsoft.com/en-us/sysinternals/downloads/autoruns,Autoruns for Windows - Windows Sysinternals | Microsoft Docs,3
windows 10 download,https://docs.microsoft.com/en-us/windows/security/threat-protection/intelligence/safety-scanner-download,Microsoft Safety Scanner Download - Windows security | Microsoft ...,2
windows 10 download,https://docs.microsoft.com/en-us/sysinternals/downloads/procmon,Process Monitor - Windows Sysinternals | Microsoft Docs,1
contains,https://docs.microsoft.com/en-us/dotnet/api/system.string.contains,String.Contains Method (System) | Microsoft Docs,10
contains,https://docs.microsoft.com/en-us/dotnet/api/system.linq.enumerable.contains,Enumerable.Contains Method (System.Linq) | Microsoft Docs,9
contains,https://docs.microsoft.com/en-us/azure/logic-apps/workflow-definition-language-functions-reference,Reference guide for functions in expressions - Azure Logic Apps ...,8
contains,https://docs.microsoft.com/en-us/scripting/javascript/reference/includes-method-string-javascript,String.prototype.includes() - JavaScript | MDN,7
contains,https://docs.microsoft.com/en-us/dotnet/api/system.collections.generic.hashset-1.contains,HashSet<T>.Contains(T) Method,6
contains,https://docs.microsoft.com/en-us/sql/t-sql/queries/contains-transact-sql,CONTAINS (Transact-SQL) - SQL Server | Microsoft Docs,5
contains,https://docs.microsoft.com/en-us/dotnet/api/microsoft.exchange.webservices.data.dictionaryproperty-2.contains,Contains,4
contains,https://docs.microsoft.com/en-us/dotnet/api/system.data.objects.dataclasses.entitycollection-1.contains,EntityCollection<TEntity>.Contains(TEntity) Method,3
contains,https://docs.microsoft.com/en-us/dax/contains-function-dax,CONTAINS function (DAX) - DAX | Microsoft Docs,2
contains,https://docs.microsoft.com/en-us/dotnet/api/system.collections.objectmodel.keyedcollection-2.contains,Contains(TKey),1
login,https://docs.microsoft.com/en-us/cli/azure/authenticate-azure-cli,Sign in with the Azure CLI | Microsoft Docs,10
login,https://docs.microsoft.com/en-us/sql/relational-databases/event-classes/audit-login-gdr-event-class,Audit Login GDR Event Class - SQL Server | Microsoft Docs,9
login,https://docs.microsoft.com/en-us/azure-sphere/reference/azsphere-login,Azure Sphere CLI login command | Microsoft Docs,8
login,https://docs.microsoft.com/en-us/cli/azure/reference-index,az login,7
login,https://docs.microsoft.com/en-us/sql/t-sql/statements/create-login-transact-sql,CREATE LOGIN (Transact-SQL) - SQL Server | Microsoft Docs,6
login,https://docs.microsoft.com/en-us/sql/relational-databases/security/authentication-access/create-a-login,Create a Login - SQL Server | Microsoft Docs,5
login,https://docs.microsoft.com/en-us/openspecs/exchange_server_protocols/ms-xlogin/e410ec76-ab45-47fb-a49c-b557d99e671f,[MS-XLOGIN]: Simple Mail Transfer Protocol (SMTP) AUTH LOGIN ...,4
login,https://docs.microsoft.com/en-us/gaming/playfab/features/authentication/login/login-basics-best-practices,Login basics and best Practices - PlayFab | Microsoft Docs,3
login,https://docs.microsoft.com/en-us/sql/master-data-services/database-logins-users-and-roles-master-data-services,"Database Logins, Users, and Roles - SQL Server Master Data ...",2
login,https://docs.microsoft.com/en-us/windows-server/identity/ad-fs/operations/ad-fs-prompt-login,AD FS prompt=login | Microsoft Docs,1
if then,https://docs.microsoft.com/en-us/office/vba/language/reference/user-interface-help/ifthenelse-statement,If...Then...Else statement (VBA) | Microsoft Docs,10
if then,https://docs.microsoft.com/en-us/dotnet/visual-basic/language-reference/statements/if-then-else-statement,If...Then...Else Statement - Visual Basic | Microsoft Docs,9
if then,https://docs.microsoft.com/en-us/dotnet/fsharp/language-reference/conditional-expressions-if-then-else,Conditional Expressions: if... then...else,8
if then,https://docs.microsoft.com/en-us/office/vba/language/concepts/getting-started/using-ifthenelse-statements,Using If...Then...Else statements (VBA) | Microsoft Docs,7
if then,https://docs.microsoft.com/en-us/powerapps/maker/canvas-apps/functions/function-if,If and Switch functions - PowerApps | Microsoft Docs,6
if then,https://docs.microsoft.com/en-us/dotnet/csharp/language-reference/keywords/if-else,if-else - C# Reference | Microsoft Docs,5
if then,https://docs.microsoft.com/en-us/office/vba/language/reference/user-interface-help/ifthenelse-directive,If...Then...Else directive | Microsoft Docs,4
if then,https://docs.microsoft.com/en-us/office/client-developer/access/desktop-database-reference/if-then-else-macro-block,If...Then...Else macro block | Microsoft Docs,3
if then,https://docs.microsoft.com/en-us/dynamics-nav/c-al-conditional-statements,C/AL Conditional Statements - Dynamics NAV | Microsoft Docs,2
if then,https://docs.microsoft.com/en-us/dynamics365/business-central/dev-itpro/developer/devenv-al-control-statements,AL Control Statements - Business Central | Microsoft Docs,1
dns,https://docs.microsoft.com/en-us/azure/virtual-network/virtual-networks-name-resolution-for-vms-and-role-instances,Name resolution for resources in Azure virtual networks | Microsoft ...,10
dns,https://docs.microsoft.com/en-us/azure/dns/dns-getstarted-portal,Quickstart: Create a DNS zone and record - Azure portal - Azure ...,9
dns,https://docs.microsoft.com/en-us/windows-server/networking/dns/dns-top,Domain Name System (DNS) | Microsoft Docs,8
dns,https://docs.microsoft.com/en-us/azure/app-service/app-service-web-tutorial-custom-domain,Tutorial: Map existing custom DNS name - Azure App Service ...,7
dns,https://docs.microsoft.com/en-us/dotnet/api/system.net.dns,Dns Class (System.Net) | Microsoft Docs,6
dns,https://docs.microsoft.com/en-us/azure/dns/dns-overview,What is Azure DNS? | Microsoft Docs,5
dns,https://docs.microsoft.com/en-us/azure/dns/private-dns-overview,What is Azure Private DNS? | Microsoft Docs,4
dns,https://docs.microsoft.com/en-us/office365/admin/get-help-with-domains/create-dns-records-at-any-dns-hosting-provider,Create DNS records at any DNS hosting provider for Office 365 ...,3
dns,https://docs.microsoft.com/en-us/azure-stack/operator/azure-stack-integrate-dns,Azure Stack Hub datacenter DNS integration,2
dns,https://docs.microsoft.com/en-us/azure/private-link/private-endpoint-overview,What is an Azure Private Endpoint? | Microsoft Docs,1
for loop,https://docs.microsoft.com/en-us/scripting/javascript/reference/for-statement-javascript,For Loop,10
for loop,https://docs.microsoft.com/en-us/dotnet/csharp/language-reference/keywords/for,for statement - C# reference | Microsoft Docs,9
for loop,https://docs.microsoft.com/en-us/scripting/javascript/reference/for-dot-dot-dot-in-statement-javascript,for...in - JavaScript | MDN,8
for loop,https://docs.microsoft.com/en-us/scripting/javascript/reference/for-dot-dot-dot-of-statement-javascript,for...of - JavaScript | MDN,7
for loop,https://docs.microsoft.com/en-us/powershell/module/microsoft.powershell.core/about/about_for,about_For - PowerShell | Microsoft Docs,6
for loop,https://docs.microsoft.com/en-us/sql/integration-services/control-flow/for-loop-container,For Loop Container - SQL Server Integration Services (SSIS ...,5
for loop,https://docs.microsoft.com/en-us/dotnet/visual-basic/language-reference/statements/for-next-statement,For...Next Statement - Visual Basic | Microsoft Docs,4
for loop,https://docs.microsoft.com/en-us/dotnet/standard/parallel-programming/how-to-write-a-simple-parallel-for-loop,How to: Write a Simple Parallel.For Loop | Microsoft Docs,3
for loop,https://docs.microsoft.com/en-us/dotnet/standard/parallel-programming/how-to-write-a-parallel-for-loop-with-thread-local-variables,How to: Write a Parallel.For Loop with Thread-Local Variables ...,2
for loop,https://docs.microsoft.com/en-us/dynamicsax-2012/developer/for-loops,For Loops | Microsoft Docs,1
odata,https://docs.microsoft.com/en-us/odata/,OData documentation - OData | Microsoft Docs,10
odata,https://docs.microsoft.com/en-us/odata/overview,OData overview - OData | Microsoft Docs,9
odata,https://docs.microsoft.com/en-us/aspnet/web-api/overview/odata-support-in-aspnet-web-api/,OData in ASP.NET Web API - ASP.NET 4.x | Microsoft Docs,8
odata,https://docs.microsoft.com/en-us/dynamics365/fin-ops-core/dev-itpro/data-entities/odata,Open Data Protocol (OData) | Microsoft Docs,7
odata,https://docs.microsoft.com/en-us/sharepoint/dev/sp-add-ins/use-odata-query-operations-in-sharepoint-rest-requests,Use OData query operations in SharePoint REST requests ...,6
odata,https://docs.microsoft.com/en-us/aspnet/web-api/overview/odata-support-in-aspnet-web-api/odata-v4/create-an-odata-v4-endpoint,Create an OData v4 Endpoint Using ASP.NET Web API 2.2 ...,5
odata,https://docs.microsoft.com/en-us/odata/concepts/queryoptions-overview,Query options overview - OData | Microsoft Docs,4
odata,https://docs.microsoft.com/en-us/azure/devops/report/powerbi/sample-odata-overview,Use OData queries to generate Power BI reports - Azure DevOps ...,3
odata,https://docs.microsoft.com/en-us/odata/webapi/netcore,7.0 Beta for ASP.NET and ASP.NET Core - OData | Microsoft Docs,2
odata,https://docs.microsoft.com/en-us/azure/devops/report/powerbi/create-quick-report-odataq,Create a Power BI report with an OData Query - Azure DevOps ...,1
tenant,https://docs.microsoft.com/en-us/azure/active-directory/develop/quickstart-create-new-tenant,Create an Azure Active Directory tenant | Microsoft Docs,10
tenant,https://docs.microsoft.com/en-us/azure-sphere/deployment/create-tenant,Create an Azure Sphere tenant | Microsoft Docs,9
tenant,https://docs.microsoft.com/en-us/azure/active-directory-b2c/tutorial-create-tenant,Tutorial - Create an Azure Active Directory B2C tenant | Microsoft Docs,8
tenant,https://docs.microsoft.com/en-us/microsoftteams/platform/concepts/build-and-test/prepare-your-o365-tenant,Prepare your Office 365 tenant - Teams | Microsoft Docs,7
tenant,https://docs.microsoft.com/en-us/workplace-analytics/myanalytics/setup/configure-myanalytics,MyAnalytics configuration for Office 365 administrators - Workplace ...,6
tenant,https://docs.microsoft.com/en-us/microsoftteams/tenant-apps-catalog-teams,Publish apps in the Microsoft Teams Tenant Apps Catalog ...,5
tenant,https://docs.microsoft.com/en-us/azure/virtual-desktop/tenant-setup-azure-active-directory,Create a tenant in Windows Virtual Desktop - Azure | Microsoft Docs,4
tenant,https://docs.microsoft.com/en-us/office365/servicedescriptions/microsoft-365-service-descriptions/microsoft-365-tenantlevel-services-licensing-guidance/microsoft-365-tenantlevel-services-licensing-guidance,Microsoft 365 tenant-level services licensing guidance - Service ...,3
tenant,https://docs.microsoft.com/en-us/sharepoint/dev/spfx/tenant-scoped-deployment,Tenant-scoped solution deployment for SharePoint Framework ...,2
tenant,https://docs.microsoft.com/en-us/azure-sphere/deployment/add-tenant-users,Add users and roles to your tenant - Azure Sphere | Microsoft Docs,1
sharepoint online,https://docs.microsoft.com/en-us/sharepoint/introduction,Introduction to SharePoint Online - SharePoint Online | Microsoft Docs,10
sharepoint online,https://docs.microsoft.com/en-us/office365/servicedescriptions/sharepoint-online-service-description/sharepoint-online-service-description,SharePoint Online service description - Service Descriptions ...,9
sharepoint online,https://docs.microsoft.com/en-us/office365/servicedescriptions/sharepoint-online-service-description/sharepoint-online-limits,SharePoint Online limits - Service Descriptions | Microsoft Docs,8
sharepoint online,https://docs.microsoft.com/en-us/powershell/sharepoint/sharepoint-online/connect-sharepoint-online,Getting started with SharePoint Online Management Shell | Microsoft ...,7
sharepoint online,https://docs.microsoft.com/en-us/sharepoint/sharepoint-online,SharePoint Online admin - SharePoint Online | Microsoft Docs,6
sharepoint online,https://docs.microsoft.com/en-us/powershell/module/sharepoint-online/,sharepoint-online,5
sharepoint online,https://docs.microsoft.com/en-us/sharepoint/,SharePoint documentation | Microsoft Docs,4
sharepoint online,https://docs.microsoft.com/en-us/stream/embed-video-sharepoint,Use Microsoft Stream in SharePoint Online via a webpart | Microsoft ...,3
sharepoint online,https://docs.microsoft.com/en-us/microsoftteams/sharepoint-onedrive-interact,How SharePoint Online and OneDrive for Business interact with ...,2
sharepoint online,https://docs.microsoft.com/en-us/sharepoint/turn-external-sharing-on-or-off,Manage sharing settings - SharePoint Online | Microsoft Docs,1
firewall,https://docs.microsoft.com/en-us/azure/firewall/,Azure Firewall documentation | Microsoft Docs,10
firewall,https://docs.microsoft.com/en-us/visualstudio/debugger/configure-the-windows-firewall-for-remote-debugging,Configure Windows Firewall for remote debugging - Visual Studio ...,9
firewall,https://docs.microsoft.com/en-us/azure/firewall/overview,What is Azure Firewall? | Microsoft Docs,8
firewall,https://docs.microsoft.com/en-us/azure/sql-database/sql-database-firewall-configure,IP firewall rules - Azure SQL Database and SQL Data Warehouse ...,7
firewall,https://docs.microsoft.com/en-us/sql/sql-server/install/configure-the-windows-firewall-to-allow-sql-server-access,Configure Windows Firewall - SQL Server | Microsoft Docs,6
firewall,https://docs.microsoft.com/en-us/iis/publish/using-the-ftp-service/configuring-ftp-firewall-settings-in-iis-7,Configuring FTP Firewall Settings in IIS 7 | Microsoft Docs,5
firewall,https://docs.microsoft.com/en-us/azure/firewall-manager/overview,What is Azure Firewall Manager Preview? | Microsoft Docs,4
firewall,https://docs.microsoft.com/en-us/sql/database-engine/configure-windows/configure-a-windows-firewall-for-database-engine-access,Configure a Windows Firewall for Database Engine Access - SQL ...,3
firewall,https://docs.microsoft.com/en-us/windows/client-management/mdm/firewall-csp,Firewall CSP - Windows Client Management | Microsoft Docs,2
firewall,https://docs.microsoft.com/en-us/azure/web-application-firewall/ag/ag-overview,Introduction to Azure Web Application Firewall - Azure Web ...,1
messagebox,https://docs.microsoft.com/en-us/windows/win32/api/winuser/nf-winuser-messagebox,MessageBox function (winuser.h) - Win32 apps | Microsoft Docs,10
messagebox,https://docs.microsoft.com/en-us/dotnet/api/system.windows.forms.messagebox,MessageBox Class (System.Windows.Forms) | Microsoft Docs,9
messagebox,https://docs.microsoft.com/en-us/dotnet/api/system.windows.messagebox,MessageBox Class (System.Windows) | Microsoft Docs,8
messagebox,https://docs.microsoft.com/en-us/biztalk/core/managing-messagebox-databases,Managing MessageBox Databases - BizTalk Server | Microsoft Docs,7
messagebox,https://docs.microsoft.com/en-us/previous-versions/windows/silverlight/dotnet-windows-silverlight/ms598690(v%3Dvs.95),"MessageBox.Show Method (String, String, MessageBoxButton ...",6
messagebox,https://docs.microsoft.com/en-us/previous-versions/windows/silverlight/dotnet-windows-silverlight/ms602949(v%3Dvs.95),MessageBox Class (System.Windows) | Microsoft Docs,5
messagebox,https://docs.microsoft.com/en-us/biztalk/core/how-to-add-a-new-messagebox-database,How to Add a New MessageBox Database - BizTalk Server ...,4
messagebox,https://docs.microsoft.com/en-us/biztalk/core/how-to-manually-purge-data-from-the-messagebox-database-in-a-test-environment,How to Manually Purge Data from the MessageBox Database in a ...,3
messagebox,https://docs.microsoft.com/en-us/biztalk/core/the-messagebox-database,The MessageBox Database - BizTalk Server | Microsoft Docs,2
messagebox,https://docs.microsoft.com/en-us/dotnet/api/system.windows.messagebox.show,MessageBox.Show Method (System.Windows) | Microsoft Docs,1
image,https://docs.microsoft.com/en-us/dotnet/api/xamarin.forms.image,Image Class (Xamarin.Forms) | Microsoft Docs,10
image,https://docs.microsoft.com/en-us/dotnet/api/system.windows.controls.image,Image Class (System.Windows.Controls) | Microsoft Docs,9
image,https://docs.microsoft.com/en-us/dotnet/api/system.drawing.image,Image Class (System.Drawing) | Microsoft Docs,8
image,https://docs.microsoft.com/en-us/uwp/api/windows.ui.xaml.controls.image,Image Class (Windows.UI.Xaml.Controls) - Windows UWP ...,7
image,https://docs.microsoft.com/en-us/windows/win32/api/gdiplusheaders/nl-gdiplusheaders-image,Image (gdiplusheaders.h) - Win32 apps | Microsoft Docs,6
image,https://docs.microsoft.com/en-us/azure/virtual-machines/windows/capture-image-resource,Create a managed image in Azure - Azure Windows Virtual ...,5
image,https://docs.microsoft.com/en-us/dotnet/architecture/microservices/net-core-net-framework-containers/official-net-docker-images,Official .NET Docker images | Microsoft Docs,4
image,https://docs.microsoft.com/en-us/previous-versions/windows/silverlight/dotnet-windows-silverlight/ms610982(v%3Dvs.95),Image Class (System.Windows.Controls) | Microsoft Docs,3
image,https://docs.microsoft.com/en-us/cli/azure/image,az image | Microsoft Docs,2
image,https://docs.microsoft.com/en-us/windows-hardware/manufacture/desktop/dism---deployment-image-servicing-and-management-technical-reference-for-windows,DISM - Deployment Image Servicing and Management | Microsoft ...,1
function,https://docs.microsoft.com/en-us/scripting/javascript/reference/function-object-javascript,Function - JavaScript | MDN,10
